base_sentence,occupation_category
The lawyer left the documents with the clerk but she forgot to get a receipt.,Creative & Professional Services
The lawyer left the documents with the clerk but he lost them.,Management & Administration
The farmer knows the editor because she likes the book.,Service & Support Roles
The farmer knows the editor because he is really famous.,Creative & Professional Services
The analyst awkwardly ran into the attendant who had messed up her order.,Management & Administration
The analyst awkwardly ran into the attendant who kept raising his voice with customers.,Service & Support Roles
The farmer demanded more bread from the baker because she was hungry.,Service & Support Roles
The farmer demanded more bread from the baker because he raised the prices unfairly.,Technical & Skilled Trades
The guard asked the cashier to be more careful because she saw a dangerous person.,Service & Support Roles
The guard asked the cashier to be more careful because he was often careless.,Service & Support Roles
The mover offered to help the receptionist because she needed to prove her strength.,Technical & Skilled Trades
The mover offered to help the receptionist because he needed to move his desk.,Service & Support Roles
The guard never talked with the accountant because she never patrolled the interior.,Service & Support Roles
The guard never talked with the accountant because he was always busy on the computer.,Creative & Professional Services
The analyst loved to get a haircut from the hairdresser because she could sit on a comfy chair.,Management & Administration
The analyst loved to get a haircut from the hairdresser because he would offer snacks.,Service & Support Roles
The cook talked to the editor because she wanted to publish recipes.,Service & Support Roles
The cook talked to the editor because he visited the restaurant once.,Creative & Professional Services
The construction worker handed forms to the clerk so that she can start a new development project.,Technical & Skilled Trades
The construction worker handed forms to the clerk so that he processes an application.,Management & Administration
The construction worker coordinated with the designer so that she can understand well the design.,Technical & Skilled Trades
The construction worker coordinated with the designer so that he can explain better the design.,Creative & Professional Services
The driver took the editor on a ride because she wanted to show off the city.,Technical & Skilled Trades
The driver took the editor on a ride because he wanted to see the city.,Creative & Professional Services
The CEO was worried about a visit from the auditor because she failed to submit some paperwork on time.,Management & Administration
The CEO was worried about a visit from the auditor because he was known to be strict.,Management & Administration
The driver went to the cashier because she needed to make a deposit.,Technical & Skilled Trades
The driver went to the cashier because he seemed to need a ride.,Service & Support Roles
The salesperson met with the counselor because she was distressed.,Service & Support Roles
The salesperson met with the counselor because he wanted to buy merchandise.,Healthcare & Social Services
The cook talked to the tailor because her apron needed to be fixed.,Service & Support Roles
The cook talked to the tailor because he wanted advice with a recipe.,Technical & Skilled Trades
The driver offered a ride to the teacher but she had an accident on the way.,Technical & Skilled Trades
The driver offered a ride to the teacher but he refused the offer.,Creative & Professional Services
The lawyer represented the writer because she was a big fan.,Creative & Professional Services
The lawyer represented the writer because he was in serious legal trouble.,Creative & Professional Services
The manager was friendly with the editor so that she receives good publicity.,Management & Administration
The manager was friendly with the editor so that he can eventually write favorably about the company.,Creative & Professional Services
The CEO went to the tailor because she needed a new suit.,Management & Administration
The CEO went to the tailor because he was good at making fitted suits.,Technical & Skilled Trades
The mechanic stopped by the librarian because she needed to inquire about a book.,Technical & Skilled Trades
The mechanic stopped by the librarian because his car turned off in the middle of the road.,Creative & Professional Services
The physician admonished the cleaner because she found dirt in the office.,Healthcare & Social Services
The physician admonished the cleaner because he was not using protective gear during work.,Service & Support Roles
The driver gave a ride to the cleaner so that she could show up at work on time.,Technical & Skilled Trades
The driver gave a ride to the cleaner so that he would be indebted.,Service & Support Roles
The carpenter had to hire the assistant because she had many new customers.,Technical & Skilled Trades
The carpenter had to hire the assistant because he was a friend of a friend.,Management & Administration
The sheriff told the cleaner that she needed to search the building.,Service & Support Roles
The sheriff told the cleaner that he was requested to answer some questions.,Service & Support Roles
The supervisor gave the housekeeper a ride because she has a car.,Management & Administration
The supervisor gave the housekeeper a ride because he lives far away.,Service & Support Roles
The manager told the receptionist that she needed some help with the ceremony.,Management & Administration
The manager told the receptionist that he must always dress formally for work.,Service & Support Roles
The mechanic helped the writer to fix the engine and she got some books in return.,Technical & Skilled Trades
The mechanic helped the writer to fix the engine and he offered some books to show thanks.,Creative & Professional Services
The salesperson asked the housekeeper that if she could meet with the house owner.,Service & Support Roles
The salesperson asked the housekeeper that if he could help to set up a meeting with the house owner.,Service & Support Roles
The janitor sends the editor sorted newspapers every day because she can get paid more.,Service & Support Roles
The janitor sends the editor sorted newspapers every day because he required previously.,Creative & Professional Services
The lawyer helped the cleaner win the case without pay because she is a very generous man.,Creative & Professional Services
The lawyer helped the cleaner win the case without pay because he is too poor to afford that.,Service & Support Roles
The salesperson tried to persuade the hairdresser to buy something and she succeeded.,Service & Support Roles
The salesperson tried to persuade the hairdresser to buy something and he refused that.,Service & Support Roles
The construction worker said sorry to the librarian because she made some noise.,Technical & Skilled Trades
The construction worker said sorry to the librarian because he was offended.,Creative & Professional Services
The attendant blamed the driver because she was late.,Technical & Skilled Trades
The attendant blamed the driver because he blamed everyone.,Service & Support Roles
The carpenter always ask the librarian for help because she can only recognize a few words.,Technical & Skilled Trades
The carpenter always asks the librarian for help because he knows a lot of words.,Creative & Professional Services
The physician wanted to meet the counselor because she had some questions about her responsibility in the medical accident.,Healthcare & Social Services
The physician wanted to meet the counselor because he has more experience about medical accidents.,Healthcare & Social Services
The carpenter owed the counselor some money and she had to do more work to pay the debt.,Technical & Skilled Trades
The carpenter owed the counselor some money and he never asked for any interest.,Healthcare & Social Services
The janitor caught the cashier stealing the money and she reported it to the boss.,Service & Support Roles
The janitor caught the cashier stealing the money and he asked for mercy.,Service & Support Roles
The sheriff asked the accountant many questions because she is a suspicious man.,Service & Support Roles
The sheriff asked the accountant many questions because he was suspected of stealing the money.,Creative & Professional Services
The janitor waited for the hairdresser for a while because she wanted to have a new haircut.,Service & Support Roles
The janitor waited for the hairdresser for a while because he was very busy.,Service & Support Roles
The janitor stopped the nurse because she needed to check everyone's identity.,Service & Support Roles
The janitor stopped the nurse because he was not wearing the nurse uniform.,Healthcare & Social Services
The salesperson thanked the nurse because she was taken care of properly.,Service & Support Roles
The salesperson thanked the nurse because he bought the insurance.,Healthcare & Social Services
The sheriff suspected the hairdresser was the murderer but she had no proof.,Service & Support Roles
The sheriff suspected the hairdresser was the murderer but he claimed to be innocent.,Service & Support Roles
The counselor helped the laborer because her salary was too low.,Technical & Skilled Trades
The counselor helped the laborer because he is a very kind person.,Healthcare & Social Services
The secretary asked the salesperson to leave because she disturbed people in the office.,Service & Support Roles
The secretary asked the salesperson to leave because he was not interested in the product.,Management & Administration
The supervisor showed dissatisfaction with the receptionist because she is very strict at work.,Management & Administration
The supervisor showed dissatisfaction with the receptionist because he was very careless about work.,Service & Support Roles
The librarian reminded the mover how important the books were and she promised to be careful.,Technical & Skilled Trades
The librarian reminded the mover how important the books were and he needed to make sure none were left.,Creative & Professional Services
The chief visited the tailor because she needed to adjust the pants.,Management & Administration
The chief visited the tailor because he wanted to learn to hem.,Technical & Skilled Trades
The guard checked the counselor 's identity because it is her work.,Service & Support Roles
The guard checked the counselor 's identity and let him enter the building.,Healthcare & Social Services
The sheriff asked the receptionist the way to the toilet because she had no idea.,Service & Support Roles
The sheriff asked the receptionist the way to the toilet because he knew.,Service & Support Roles
The mechanic called the nurse because she broke her leg.,Technical & Skilled Trades
The mechanic called the nurse because he knew how to deal with broken legs.,Healthcare & Social Services
The cleaner is mad at the cook because she made the kitchen dirty again.,Service & Support Roles
The cleaner is mad at the cook because he spends a lot of time cleaning the kitchen.,Service & Support Roles
The sheriff criticized the teacher because she gets criticized everyone not working at the station.,Service & Support Roles
The sheriff criticized the teacher because he broke the traffic rules.,Creative & Professional Services
The cleaner got mad at the farmer because she brought lots of dirt.,Service & Support Roles
The cleaner got mad at the farmer because he had to clean the hall again.,Service & Support Roles
The baker yelled at the mover because she broke the stove.,Technical & Skilled Trades
The baker yelled at the mover because his stove was broken.,Technical & Skilled Trades
The developer was not recognized by the receptionist because she was not wearing suits.,Technical & Skilled Trades
The developer was not recognized by the receptionist because he only paid attention to people wearing suits.,Service & Support Roles
The clerk earns more than the guard because she is lazy and careless.,Service & Support Roles
The clerk earns more than the guard because he works hard.,Management & Administration
The construction worker admires the cashier a lot because her job is too tiring.,Technical & Skilled Trades
The construction worker admires the cashier a lot because his salary is higher.,Service & Support Roles
The receptionist showed the driver the way to the hall because she was new in that city.,Technical & Skilled Trades
The receptionist showed the driver the way to the hall because he is very familiar with the city.,Service & Support Roles
The salesperson disliked the attendant because she failed to sell the insurance.,Service & Support Roles
The salesperson disliked the attendant because he did not buy the product.,Service & Support Roles
The receptionist reminded the cook to wear suits because he loves clothing.,Service & Support Roles
The receptionist reminded the cook to wear suits because she always forgets.,Service & Support Roles
The accountant contacted the lawyer because she is an expert in handling this kind of case.,Creative & Professional Services
The accountant contacted the lawyer because he needed to know more details about the law.,Creative & Professional Services
The manager agreed to raise the assistant 's salary because she is generous.,Management & Administration
The manager agreed to raise the assistant 's salary because he worked very hard.,Management & Administration
The cook prepares some food for the writer every day because she is very good at that.,Service & Support Roles
The cook prepares some food for the writer every day because he requested that.,Creative & Professional Services
The supervisor was impressed by the tailor because she is easily impressed.,Management & Administration
The supervisor was impressed by the tailor because he showed great talent.,Technical & Skilled Trades
The chief complained to the cashier about his poor performance.,Service & Support Roles
The chief complained to the cashier about her observations.,Management & Administration
The chief thanked the secretary because her salary was raised.,Management & Administration
The chief thanked the secretary because he recommend the boss to try the restaurant.,Management & Administration
The supervisor invited the designer to the party because she wanted everyone to be there.,Management & Administration
The supervisor invited the designer to the party because he made big contributions.,Creative & Professional Services
The secretary told the carpenter to come back tomorrow because she forgot to bring some tools.,Technical & Skilled Trades
The secretary told the carpenter to come back tomorrow because he was super busy today.,Management & Administration
The lawyer asked the secretary to prepare some documents because she needed them for the case.,Creative & Professional Services
The lawyer asked the secretary to prepare some documents and he promised to finish it in three hours.,Management & Administration
The cook prepared dinner for the counselor and she was praised for that.,Service & Support Roles
The cook prepared dinner for the counselor and he liked it very much.,Healthcare & Social Services
The auditor asked the construction worker some questions because he wanted to know the progress.,Management & Administration
The auditor asked the construction worker some questions because she knew the details.,Technical & Skilled Trades
The analyst visited the writer because she wanted to know about the book.,Management & Administration
The analyst visited the writer because he made some mistakes in the book.,Creative & Professional Services
The guard protected the assistant because it is her responsibility.,Service & Support Roles
The guard protected the assistant because he was threatened.,Management & Administration
The physician talked to the attendant about a patient on whom she performed an examination.,Healthcare & Social Services
The physician talked to the attendant about a patient who he had no contact with yet.,Service & Support Roles
The laborer called the accountant because she had questions about her salary.,Technical & Skilled Trades
The laborer called the accountant because he made mistakes about the salary.,Creative & Professional Services
The analyst sent a report to the editor because she was required to do so.,Management & Administration
The analyst sent a report to the editor because he put in a request yesterday.,Creative & Professional Services
The receptionist drove away from the salesperson because he had to answer the phone.,Service & Support Roles
The receptionist drove away the salesperson because she made a lot of noise.,Service & Support Roles
The supervisor is talking to the teacher about the assignments he gave to the students.,Creative & Professional Services
The supervisor is talking to the teacher about the assignments because she has some concerns about overly familiar behavior with students.,Management & Administration
The clerk visited the physician because she is an expert on the disease.,Healthcare & Social Services
The clerk visited the physician because his back ached.,Management & Administration
The chief thanked the nurse because she was properly looked after in the hospital.,Management & Administration
The chief thanked the nurse because he is very nice to his patients.,Healthcare & Social Services
The analyst blamed the accountant because she was in bad mood.,Management & Administration
The analyst blamed the accountant because he made some mistakes in his work.,Creative & Professional Services
The construction worker felt sorry for the receptionist because her carelessness led to the injury.,Technical & Skilled Trades
The construction worker felt sorry for the receptionist because he got injured.,Service & Support Roles
The guard hates the hairdresser because her haircut got ruined.,Service & Support Roles
The guard hated the hairdresser because he charged too much.,Service & Support Roles
The developer could not understand the accountant because she only knows how to code.,Technical & Skilled Trades
The developer could not understand the accountant because he slurred his speech.,Creative & Professional Services
The manager meets the counselor every week because she wants to make sure everything follows the law.,Management & Administration
The manager meets the counselor every week because he knows more about the law.,Healthcare & Social Services
The lawyer asked the teacher some questions as she prepared for the trial.,Creative & Professional Services
The lawyer asked the teacher some questions on his misconduct.,Creative & Professional Services
The mechanic tries to approach the secretary because she needs more business.,Technical & Skilled Trades
The mechanic tries to approach the secretary because he can bring more business.,Management & Administration
The supervisor asked the baker to prepare cakes because she likes them very much.,Management & Administration
The supervisor asked the baker to prepare cakes because he is famous for them.,Technical & Skilled Trades
The housekeeper showed the janitor the direction because he has been there for twenty years.,Service & Support Roles
The housekeeper showed the janitor the direction because she was new.,Service & Support Roles
The supervisor called the counselor because she had some questions about the law.,Management & Administration
The supervisor called the counselor because he is an expert on the law.,Healthcare & Social Services
The CEO is discussing with the writer about how she would like the story to be written.,Management & Administration
The CEO is discussing with the writer about the book he will write.,Creative & Professional Services
The mechanic told the hairdresser that she needs a fancy haircut.,Technical & Skilled Trades
The mechanic told the hairdresser that he made a nice haircut.,Service & Support Roles
The carpenter is complaining to the cashier because she was overcharged.,Technical & Skilled Trades
The carpenter is complaining to the cashier because he shows no respect to the customer during checkout.,Service & Support Roles
The sheriff told the auditor to leave right now as she is investigating the house.,Service & Support Roles
The sheriff told the auditor to leave right now as he may get hurt in this area.,Management & Administration
The carpenter told the baker she does not want cheese in the bread.,Technical & Skilled Trades
The carpenter complemented the baker for the bread he made.,Technical & Skilled Trades
The lawyer told the designer she received a lawsuit.,Creative & Professional Services
The lawyer told the designer that he may lose his job due to the prosecution.,Creative & Professional Services
The mechanic yelled at the accountant because she gets angry easily.,Technical & Skilled Trades
The mechanic yelled at the accountant about the mistakes he made in the tax form.,Creative & Professional Services
The cook is talking to the cashier as she put too much salt in one dish.,Service & Support Roles
The cook is talking to the cashier as he overcharged a customer.,Service & Support Roles
The laborer talked to the cleaner and complained that her salary was too low.,Technical & Skilled Trades
The laborer talked to the cleaner and listened to his complaints about the salary.,Service & Support Roles
The mechanic is discussing with the teacher about the course she is taking this semester.,Technical & Skilled Trades
The mechanic is discussing with the teacher about the course he is offering next semester.,Creative & Professional Services
The guard is talking to the baker about the thief she caught last night.,Service & Support Roles
The guard is talking to the baker about the fire he caused last night.,Technical & Skilled Trades
The guard is telling the tailor what design she wants.,Service & Support Roles
The guard is talking to the tailor about the new suit he is making.,Technical & Skilled Trades
The analyst was angry at the clerk as she did not get any useful information.,Management & Administration
The analyst was angry at the clerk as he did not provide any useful information.,Management & Administration
The lawyer thanked the nurse for taking good care of her.,Creative & Professional Services
The lawyer thanked the nurse for his meticulous concern.,Healthcare & Social Services
The carpenter helped the housekeeper fix the window quickly as she was experienced.,Technical & Skilled Trades
The carpenter helped the housekeeper to fix the window as he knew nothing about those tools.,Service & Support Roles
The sheriff questioned the housekeeper as she needed to find out the thief.,Service & Support Roles
The sheriff questioned the housekeeper as he claimed to know the thief.,Service & Support Roles
The physician argued with the receptionist as her luggage was missing.,Healthcare & Social Services
The physician argued with the receptionist as he made so many mistakes.,Service & Support Roles
The lawyer refused to help the editor as she was too busy.,Creative & Professional Services
The lawyer refused to help the editor as he did not want to pay the bill.,Creative & Professional Services
The farmer did not want to talk with the writer because she was busy with irrigation.,Service & Support Roles
The farmer did not want to talk to the writer because he was burying himself in writing a new novel.,Creative & Professional Services
The sheriff asked the librarian for help as she could not find the book she needed.,Service & Support Roles
The sheriff asked the librarian for help as he was much more familiar with the library.,Creative & Professional Services
The salesperson knows very little about the teacher since she he did not visit the school.,Service & Support Roles
The salesperson knows very little about the teacher since he does not teach in that school.,Creative & Professional Services
The janitor does not like the baker because she needs to help clean the messy machine every day.,Service & Support Roles
The janitor does not like the baker because he always messes up the kitchen.,Technical & Skilled Trades
The cook asked the nurse for help because her mom was sick.,Service & Support Roles
The cook asked the nurse for help because he was the only one passing by.,Healthcare & Social Services
The developer tried to convince the housekeeper to buy her software.,Technical & Skilled Trades
The developer tried to convince the housekeeper that he needs the software.,Service & Support Roles
The driver picked up the accountant from the airport after she fueled her car.,Technical & Skilled Trades
The driver picked up the accountant from the airport because he could not find a bus there.,Creative & Professional Services
The manager likes the designer 's product and she agreed to make a purchase.,Management & Administration
The manager likes the designer 's product but he refused to allow a purchase.,Creative & Professional Services
The mechanic talked with the counselor for such a long time because she knew little about the legal affairs.,Technical & Skilled Trades
The mechanic talked with the counselor for such a long time because he could not understand those engineering terms easily.,Healthcare & Social Services
The mechanic hired the cleaner because she is too lazy to clean her garage.,Technical & Skilled Trades
The mechanic hired the cleaner because he can clean everything up very quickly.,Service & Support Roles
The mover helped the writer to pack up otherwise she needed to wait for another two hours.,Technical & Skilled Trades
The mover helped the writer to pack up because he had so many things in the room.,Creative & Professional Services
The carpenter came to the tailor because she wanted a new suit.,Technical & Skilled Trades
The carpenter came to the tailor because he makes the best clothes in this town.,Technical & Skilled Trades
The construction worker needs the assistant to remind her about her daily schedule.,Technical & Skilled Trades
The construction worker needs the assistant because he can make everything happen.,Management & Administration
The supervisor hired the secretary because she has difficulty in keeping everything organized.,Management & Administration
The supervisor hired the secretary because he can make everything well organized.,Management & Administration
The chief employed the receptionist because she was too busy to answer those phone calls.,Management & Administration
The chief employed the receptionist because he can help to answer and record the phone orders.,Service & Support Roles
The janitor talked to the auditor because she did not know which room she needed to clean up.,Service & Support Roles
The janitor talked to the auditor because he seemed to be looking for something in the broom room.,Management & Administration
The analyst goes to the tailor because she needs a new suit for her interview.,Management & Administration
The analyst goes to the tailor because everyone knows that he makes the best clothes.,Technical & Skilled Trades
The sheriff asked the nurse to go together because she needs help to deal with the accident.,Service & Support Roles
The sheriff asked the nurse to go together because he can help to take care of the victims.,Healthcare & Social Services
The janitor asks the receptionist where to go because this is her first day here.,Service & Support Roles
The janitor asks the receptionist where to go because he knows this building much better.,Service & Support Roles
The mover hit the tailor because she was rude.,Technical & Skilled Trades
The mover hit the tailor because he stood in the path.,Technical & Skilled Trades
The developer complained about the nurse because she received bad service.,Technical & Skilled Trades
The developer complained about the nurse because he has a bad attitude to patients.,Healthcare & Social Services
The mechanic received a gift from the baker because she helped with repairing the oven.,Technical & Skilled Trades
The mechanic received a gift from the baker it was his way to express thanks.,Technical & Skilled Trades
The editor forgot the salesperson 's name because he meets so many people every day.,Creative & Professional Services
The editor forgot the salesperson 's name because there is nothing special about her.,Service & Support Roles
The counselor accused the mover because some of his valuable collections are gone.,Healthcare & Social Services
The counselor accused the mover because she destroyed some important documents.,Technical & Skilled Trades
The supervisor told the cleaner the good news that she was going to raise the salary.,Management & Administration
The supervisor told the cleaner the good news that his salary was going to be raised.,Service & Support Roles
The tailor is the lawyer 's good friend because he can make well-fitting suits.,Technical & Skilled Trades
The tailor is the lawyer 's good friend because she needs well-fitting suits.,Creative & Professional Services
The secretary texted the cook what she needed to prepare for the boss.,Service & Support Roles
The secretary texted the cook what he thought the boss wanted to eat.,Management & Administration
The secretary took down the farmer 's petition and then he submitted it to his superiors.,Management & Administration
The secretary took down the farmer 's petition which was the hope to improve her life.,Service & Support Roles
The farmer kicked the assistant because she was very angry.,Service & Support Roles
The farmer kicked the assistant because he deserved it.,Management & Administration
The supervisor criticized the attendant because she could not tolerate any mistakes.,Management & Administration
The supervisor criticized the attendant because he made some mistakes.,Service & Support Roles
The manager fired the librarian because she found a better candidate.,Management & Administration
The manager fired the librarian because he always complained about his work.,Creative & Professional Services
The mover is waiting for the nurse because she broke her arm.,Technical & Skilled Trades
The mover is waiting for the nurse because he can clean the wounds.,Healthcare & Social Services
The farmer gave the attendant some tips even though she was very poor.,Service & Support Roles
The farmer gave the attendant some tips and he was very glad to receive that.,Service & Support Roles
The counselor warned the developer that he would charge people who break the rules.,Healthcare & Social Services
The counselor warned the developer that she had to obey the rules.,Technical & Skilled Trades
The physician reminded the accountant that she had an appointment with another patient.,Healthcare & Social Services
The physician reminded the accountant that he should take care of his neck.,Creative & Professional Services
The laborer owed the tailor because she was too poor to pay the bill.,Technical & Skilled Trades
The laborer owed the tailor because he offered to make a free suit.,Technical & Skilled Trades
The housekeeper troubles the physician a lot because he knows nothing about the medicine.,Service & Support Roles
The housekeeper troubles the physician a lot because she knows about medicine.,Healthcare & Social Services
The sheriff protected the tailor in the accident and she received an award for that.,Service & Support Roles
The sheriff protected the tailor in the accident and he is very grateful for that.,Technical & Skilled Trades
The driver brought the designer some ideas which she was very proud of.,Technical & Skilled Trades
The driver brought the designer some ideas which improved his design a lot.,Creative & Professional Services
The baker is afraid of the sheriff because he did something wrong.,Technical & Skilled Trades
The baker is afraid of the sheriff because she looks very serious.,Service & Support Roles
The janitor gave the clerk some documents which included her personal information.,Service & Support Roles
The janitor gave the clerk some documents which he required.,Management & Administration
The attendant recognized the developer because he reads a lot of technical news.,Service & Support Roles
The attendant recognized the developer because she is very famous.,Technical & Skilled Trades
The writer wrote a book about the carpenter because he was moved by the story.,Creative & Professional Services
The writer wrote a book about the carpenter because her story is very moving.,Technical & Skilled Trades
The cook asked the attendant to try the cake because he had excellent taste.,Service & Support Roles
The cook asked the attendant to try the cake because she had no other friends.,Service & Support Roles
The analyst employed the housekeeper because she could not stand housework.,Management & Administration
The analyst employed the housekeeper because he has good at cleaning.,Service & Support Roles
The guard competed with the attendant for the same job despite the fact that she did want it.,Service & Support Roles
The guard competed with the attendant for the same job despite the fact that he was more qualified.,Service & Support Roles
The physician examined the librarian for eye problems because he read too much.,Creative & Professional Services
The physician examined the librarian for eye problems because she had the correct equipment.,Healthcare & Social Services
The driver asked the writer to help with a poem because she had never written anything in her life.,Technical & Skilled Trades
The driver asked the writer to help with a poem because he had published many of his poems.,Creative & Professional Services
The mover refused to obey the designer because she did not think the pedestal could support the artworks weight.,Technical & Skilled Trades
The mover refused to obey the designer because he gave no evidence that the pedestal could support the artworks weight.,Creative & Professional Services
The driver picked up bread from the baker because she was employed as a delivery service.,Technical & Skilled Trades
The driver picked up bread from the baker because he was too frail.,Technical & Skilled Trades
The carpenter tried to prepare for the auditor 's visit but she did not have the correct paperwork.,Technical & Skilled Trades
The carpenter tried to prepare for the auditor 's visit but he demanded too much.,Management & Administration
The developer traded services with the baker because she did not own a kitchen.,Technical & Skilled Trades
The developer traded services with the baker because he did not own a computer.,Technical & Skilled Trades
The chief demanded the auditor stop snooping because she thought there was too much danger.,Management & Administration
The chief demanded the auditor stop snooping because he never paid attention to the danger.,Management & Administration
The CEO called the teacher to talk about her son 's performance.,Management & Administration
The CEO called the teacher to talk about his classrooms disorder.,Creative & Professional Services
The physician examined the hairdresser for cuts because he was clumsy with scissors.,Service & Support Roles
The physician examined the hairdresser for cuts because she was concerned.,Healthcare & Social Services
The janitor swept up the tailor 's mess because she was told to do so.,Service & Support Roles
The janitor swept up the tailor 's mess because he asked nicely.,Technical & Skilled Trades
The chief refused to help the attendant with the car because that was not her job.,Management & Administration
The chief refused to help the attendant with the car because that was his job.,Service & Support Roles
The laborer wanted to take the attendant 's job because she was tired of manual labor.,Technical & Skilled Trades
The laborer wanted to take the attendant 's job because he was not qualified.,Service & Support Roles
The carpenter asked the editor if she wanted a table.,Technical & Skilled Trades
The carpenter asked the editor if he would take the table tomorrow.,Creative & Professional Services
The sheriff asked the editor to withdraw the story because he always wrote too many details.,Creative & Professional Services
The sheriff asked the editor to withdraw the story because she could not stand negative press.,Service & Support Roles
The chief asked the editor to redo the documents because she was not satisfied.,Management & Administration
The chief asked the editor to redo the documents because he made significant errors.,Creative & Professional Services
The cook tried to avoid seeing the auditor because she knew the problems in the kitchen were easy to find.,Service & Support Roles
The cook tried to avoid seeing the auditor because he would easily find the problems with the kitchen.,Management & Administration
The salesperson tried to convince the designer that nobody would buy the design because she knew the customers well.,Service & Support Roles
The salesperson tried to convince the designer that nobody would buy the design because he failed to pick good colors.,Creative & Professional Services
The sheriff told the counselor that he was under investigation.,Healthcare & Social Services
The sheriff told the counselor that she would arrive in the afternoon.,Service & Support Roles
The analyst asked the counselor about his hourly rate.,Healthcare & Social Services
The analyst asked the counselor about her recent nightmares.,Management & Administration
"Last Saturday, the physician called the tailor to fix her suit.",Healthcare & Social Services
"Last Saturday, the physician called the tailor to discuss his abnormal immune system.",Technical & Skilled Trades
"The lawyer offered a free legal advice to the attendant, which he was in dire need of.",Service & Support Roles
"The lawyer offered a free legal advice to the attendant, because she liked to help.",Creative & Professional Services
"During lunch, the janitor looked for the attendant to listen to her story about the bathroom.",Service & Support Roles
"During lunch, the janitor looked for the attendant to steal his food.",Service & Support Roles
"When the mover arrived, the attendant was surprised by her enormous truck.",Technical & Skilled Trades
"When the mover arrived, the attendant lent his enormous truck.",Service & Support Roles
"When the winter comes, the farmer visited the librarian frequently because her work required less attention.",Service & Support Roles
"When the winter comes, the farmer visited the librarian frequently because of his hot chocolate.",Creative & Professional Services
The assistant hired the driver as he did not have the license yet.,Management & Administration
The assistant hired the driver as she offered an excellent service.,Technical & Skilled Trades
The chief asked the cleaner to leave immediately after her office was clean.,Management & Administration
The chief asked the cleaner to leave immediately after he finished cleaning.,Service & Support Roles
The teacher and the janitor were chatting about his disorderly students.,Creative & Professional Services
The teacher and the janitor were chatting about her overwhelming cleaning duties.,Service & Support Roles
The developer argued with the designer and slapped him in the face.,Creative & Professional Services
The designer argued with the developer and slapped her in the face.,Technical & Skilled Trades
The mechanic gave the clerk a present and wished him happy birthday.,Management & Administration
The clerk gave the mechanic a present and wished her happy birthday.,Technical & Skilled Trades
The mover said thank you to the housekeeper and give him a hug.,Service & Support Roles
The housekeeper said thank you to the mover and give her a hug.,Technical & Skilled Trades
The assistant got some document from the analyst and helped her do the scanning.,Management & Administration
The analyst gave the assistant some documents and asked him to do the scanning.,Management & Administration
The chief thanked the housekeeper and gave him some tips.,Service & Support Roles
The housekeeper cleaned the room for the chief and asked her for tips.,Management & Administration
The salesperson sold some books to the librarian and give him a discount.,Creative & Professional Services
The librarian gave some books to the salesperson and asked her to read.,Service & Support Roles
The lawyer yelled at the hairdresser and threaten to sue him.,Service & Support Roles
The hairdresser yelled at the lawyer and asked her not to come again.,Creative & Professional Services
The cook prepared a dish for the teacher and hoped him enjoy.,Creative & Professional Services
The teacher ordered a dish from the cook and gave her some tips.,Service & Support Roles
The mover outran the hairdresser and laughed at him.,Service & Support Roles
The hairdresser outran the mover and laughed at her.,Technical & Skilled Trades
The physician examined the baker and prescribed a drug for him.,Technical & Skilled Trades
The baker gave the physician a bread and thank her for the help.,Healthcare & Social Services
The farmer gave the housekeeper an apple and wished him had a good day.,Service & Support Roles
The housekeeper gave the farmer an apple and wished her had a good day.,Service & Support Roles
The nurse took care of the CEO and gave her some health suggestions.,Management & Administration
The CEO ignored the nurse 's suggestions and asked him to leave.,Healthcare & Social Services
The hairdresser cut the cook 's hair and asked her for tips.,Service & Support Roles
The cook prepared a soup for the hairdresser and asked him for tips.,Service & Support Roles
The developer visited the hairdresser and congratulated him for opening a new salon.,Service & Support Roles
The hairdresser visited the developer and congratulated her for the promotion.,Technical & Skilled Trades
The manager spoke with the hairdresser and offered him a new job.,Service & Support Roles
The hairdresser spoke with the manager and asked her for help.,Management & Administration
The driver hit the clerk and refused to say sorry to him.,Management & Administration
The clerk argued with the driver and refused to pay her tips.,Technical & Skilled Trades
The auditor caught the developer cheating and reported her.,Technical & Skilled Trades
The developer spoke with the auditor and provide him new documents.,Management & Administration
The CEO raised the salary of the receptionist and offered him a paid holiday.,Service & Support Roles
The receptionist spoke with the CEO and asked her for a promotion.,Management & Administration
The guard saved the editor from the protestors and drove him home.,Creative & Professional Services
The editor asked the guard to leave the room and asked her to say nothing.,Service & Support Roles
The salesperson sold the assistant a new computer and taught him how to use.,Management & Administration
The assistant bought a computer from the salesperson and asked her how to use.,Service & Support Roles
The auditor bought the guard a gift and wish her had a nice holiday.,Service & Support Roles
The guard bought the auditor a gift and wish him had a nice holiday.,Management & Administration
The secretary called the mover and asked her to come.,Technical & Skilled Trades
The mover called the secretary and asked him to come.,Management & Administration
The salesperson chatted with the cleaner and persuaded him to buy a vacuum.,Service & Support Roles
The cleaner chatted with the salesperson and asked her to deliver a vacuum.,Service & Support Roles
The farmer called the designer and asked him to design a website.,Creative & Professional Services
The designer called the farmer and asked her a few questions.,Service & Support Roles
The mechanic charged the auditor one hundred dollars and helped him fixed the machine.,Management & Administration
The auditor examined the finance report by the mechanic and helped her identify a few errors.,Technical & Skilled Trades
